Figure of merit results from optimization:
2019-03-07 16:33:27, SI=1, It_no=0, Feval_no=1, FOM=0.2702685544819907
2019-03-07 16:33:29, SI=1, It_no=0, Feval_no=2, FOM=0.01618676855541294
2019-03-07 16:33:30, SI=1, It_no=0, Feval_no=3, FOM=0.5646594340986963
2019-03-07 16:33:32, SI=1, It_no=0, Feval_no=4, FOM=0.5343329879714601
2019-03-07 16:33:33, SI=1, It_no=0, Feval_no=5, FOM=0.5450548284306259
2019-03-07 16:33:36, SI=1, It_no=1, Feval_no=6, FOM=0.1543190380309722
2019-03-07 16:33:40, SI=1, It_no=2, Feval_no=7, FOM=0.15665686225089154
2019-03-07 16:33:41, SI=1, It_no=3, Feval_no=8, FOM=0.06489431295951023
2019-03-07 16:33:43, SI=1, It_no=4, Feval_no=9, FOM=0.5702904330377486
2019-03-07 16:33:45, SI=1, It_no=4, Feval_no=10, FOM=0.03731218065706319
2019-03-07 16:33:46, SI=1, It_no=5, Feval_no=11, FOM=0.43770901701540704
2019-03-07 16:33:48, SI=1, It_no=5, Feval_no=12, FOM=0.23648269429680935
2019-03-07 16:33:49, SI=1, It_no=5, Feval_no=13, FOM=0.06549864096050317
2019-03-07 16:33:51, SI=1, It_no=5, Feval_no=14, FOM=0.11440992773443856
2019-03-07 16:33:52, SI=1, It_no=5, Feval_no=15, FOM=0.5304466179549319
2019-03-07 16:33:54, SI=1, It_no=5, Feval_no=16, FOM=0.01845420919370742
2019-03-07 16:33:55, SI=1, It_no=6, Feval_no=17, FOM=0.45729683343051364
2019-03-07 16:33:57, SI=1, It_no=6, Feval_no=18, FOM=0.11826441561041988
2019-03-07 16:33:59, SI=1, It_no=7, Feval_no=19, FOM=0.25163593520943534
