Figure of merit results from optimization:
2019-03-08 01:08:44, SI=3, It_no=7, Feval_no=16, FOM=0.66816145843148
2019-03-08 01:08:46, SI=3, It_no=8, Feval_no=17, FOM=0.7094521097317393
2019-03-08 01:08:48, SI=3, It_no=9, Feval_no=18, FOM=0.6439604779387813
2019-03-08 01:08:50, SI=3, It_no=9, Feval_no=19, FOM=0.70633323827792
2019-03-08 01:08:51, SI=3, It_no=10, Feval_no=20, FOM=0.7029882898101356
2019-03-08 01:08:53, SI=3, It_no=10, Feval_no=21, FOM=0.718953446794505
2019-03-08 01:08:55, SI=3, It_no=11, Feval_no=22, FOM=0.6661287524207918
2019-03-08 01:08:57, SI=3, It_no=11, Feval_no=23, FOM=0.719803157110745
2019-03-08 01:08:59, SI=3, It_no=12, Feval_no=24, FOM=0.6784481034789642
2019-03-08 01:09:01, SI=3, It_no=12, Feval_no=25, FOM=0.7168383995278828
2019-03-08 01:09:03, SI=3, It_no=13, Feval_no=26, FOM=0.7194403825519066
2019-03-08 01:09:05, SI=3, It_no=14, Feval_no=27, FOM=0.721196833875219
2019-03-08 01:09:07, SI=3, It_no=14, Feval_no=28, FOM=0.7099962960323472
2019-03-08 01:09:09, SI=3, It_no=15, Feval_no=29, FOM=0.7080512991388425
2019-03-08 01:09:11, SI=3, It_no=15, Feval_no=30, FOM=0.7218262946118911
2019-03-08 01:09:12, SI=3, It_no=16, Feval_no=31, FOM=0.7092961684385426
2019-03-08 01:09:14, SI=3, It_no=16, Feval_no=32, FOM=0.7226339469868021
2019-03-08 01:09:16, SI=3, It_no=17, Feval_no=33, FOM=0.7168272936261961
2019-03-08 01:09:18, SI=3, It_no=17, Feval_no=34, FOM=0.7221045786020346
2019-03-08 01:09:20, SI=3, It_no=18, Feval_no=35, FOM=0.7230601631113636
2019-03-08 01:09:22, SI=3, It_no=18, Feval_no=36, FOM=0.7194144003415948
2019-03-08 01:09:24, SI=3, It_no=19, Feval_no=37, FOM=0.7167706821028683
2019-03-08 01:09:26, SI=3, It_no=19, Feval_no=38, FOM=0.7232583629797427
2019-03-08 01:09:28, SI=3, It_no=20, Feval_no=39, FOM=0.7222016654290891
2019-03-08 01:09:30, SI=3, It_no=21, Feval_no=40, FOM=0.7248147278020706
2019-03-08 01:09:31, SI=3, It_no=21, Feval_no=41, FOM=0.725308714656317
2019-03-08 01:09:33, SI=4, It_no=0, Feval_no=1, FOM=0.725308714656317
2019-03-08 01:09:35, SI=4, It_no=0, Feval_no=2, FOM=0.6428383860118867
2019-03-08 01:09:37, SI=4, It_no=0, Feval_no=3, FOM=0.6613194992444889
2019-03-08 01:09:39, SI=4, It_no=0, Feval_no=4, FOM=0.6530015456695213
2019-03-08 01:09:40, SI=4, It_no=0, Feval_no=5, FOM=0.7098650078356273
2019-03-08 01:09:42, SI=4, It_no=1, Feval_no=6, FOM=0.6565820374988331
2019-03-08 01:09:44, SI=4, It_no=2, Feval_no=7, FOM=0.5897537845690896
2019-03-08 01:09:46, SI=4, It_no=2, Feval_no=8, FOM=0.6985599493251055
2019-03-08 01:09:48, SI=4, It_no=3, Feval_no=9, FOM=0.6555315734063007
2019-03-08 01:09:50, SI=4, It_no=3, Feval_no=10, FOM=0.6997980414083463
2019-03-08 01:09:51, SI=4, It_no=4, Feval_no=11, FOM=0.6613238522943536
2019-03-08 01:09:53, SI=4, It_no=4, Feval_no=12, FOM=0.6841166619784651
2019-03-08 01:09:55, SI=4, It_no=5, Feval_no=13, FOM=0.7126694984315743
2019-03-08 01:09:57, SI=4, It_no=6, Feval_no=14, FOM=0.7005732949424057
2019-03-08 01:09:59, SI=4, It_no=7, Feval_no=15, FOM=0.717188466701147
2019-03-08 01:10:00, SI=4, It_no=8, Feval_no=16, FOM=0.7134269571300004
2019-03-08 01:10:02, SI=4, It_no=9, Feval_no=17, FOM=0.6829764526799104
2019-03-08 01:10:04, SI=4, It_no=9, Feval_no=18, FOM=0.7210661773590571
2019-03-08 01:10:06, SI=4, It_no=10, Feval_no=19, FOM=0.7132995703974164
2019-03-08 01:10:08, SI=4, It_no=10, Feval_no=20, FOM=0.7211962961913443
2019-03-08 01:10:10, SI=4, It_no=11, Feval_no=21, FOM=0.7099457454565403
