Figure of merit results from optimization:
2019-03-26 16:35:16, SI=1, It_no=0, Feval_no=1, FOM=0.0
2019-03-26 16:35:16, SI=1, It_no=0, Feval_no=2, FOM=0.003989424114433793
2019-03-26 16:35:17, SI=1, It_no=0, Feval_no=3, FOM=0.026680695620607188
2019-03-26 16:35:17, SI=1, It_no=0, Feval_no=4, FOM=0.025217727548397312
2019-03-26 16:35:18, SI=1, It_no=0, Feval_no=5, FOM=0.013800341946017489
2019-03-26 16:35:19, SI=1, It_no=1, Feval_no=6, FOM=0.017882184448108546
2019-03-26 16:35:19, SI=1, It_no=2, Feval_no=7, FOM=0.03171307804637977
2019-03-26 16:35:19, SI=1, It_no=2, Feval_no=8, FOM=0.04922933485023056
2019-03-26 16:35:20, SI=1, It_no=3, Feval_no=9, FOM=0.07099606786851763
2019-03-26 16:35:21, SI=1, It_no=3, Feval_no=10, FOM=0.11227685014438968
2019-03-26 16:35:21, SI=1, It_no=4, Feval_no=11, FOM=0.08804346116153756
2019-03-26 16:35:22, SI=1, It_no=5, Feval_no=12, FOM=0.11229183403125108
2019-03-26 16:35:22, SI=1, It_no=5, Feval_no=13, FOM=0.15501800884760522
2019-03-26 16:35:23, SI=1, It_no=6, Feval_no=14, FOM=0.1740008148934191
2019-03-26 16:35:24, SI=1, It_no=6, Feval_no=15, FOM=0.2432747114756469
2019-03-26 16:35:24, SI=1, It_no=7, Feval_no=16, FOM=0.24735991917794048
2019-03-26 16:35:25, SI=1, It_no=7, Feval_no=17, FOM=0.3336204111191334
2019-03-26 16:35:26, SI=1, It_no=8, Feval_no=18, FOM=0.3272599035249516
2019-03-26 16:35:26, SI=1, It_no=9, Feval_no=19, FOM=0.369902355474973
2019-03-26 16:35:27, SI=1, It_no=9, Feval_no=20, FOM=0.38020555663906386
2019-03-26 16:35:27, SI=1, It_no=10, Feval_no=21, FOM=0.38032839267381013
2019-03-26 16:35:28, SI=1, It_no=10, Feval_no=22, FOM=0.37940564708258645
2019-03-26 16:35:29, SI=1, It_no=11, Feval_no=23, FOM=0.38286163888238717
2019-03-26 16:35:29, SI=1, It_no=11, Feval_no=24, FOM=0.38220252841393415
2019-03-26 16:35:30, SI=1, It_no=12, Feval_no=25, FOM=0.38114741604963925
2019-03-26 16:35:30, SI=1, It_no=13, Feval_no=26, FOM=0.376795622426293
2019-03-26 16:35:31, SI=1, It_no=13, Feval_no=27, FOM=0.379384923154597
2019-03-26 16:35:32, SI=1, It_no=14, Feval_no=28, FOM=0.37703075175303596
2019-03-26 16:35:32, SI=1, It_no=14, Feval_no=29, FOM=0.3803265665414936
2019-03-26 16:35:33, SI=1, It_no=15, Feval_no=30, FOM=0.3826064020161484
2019-03-26 16:35:33, SI=2, It_no=0, Feval_no=1, FOM=0.38286163888238717
2019-03-26 16:35:34, SI=2, It_no=0, Feval_no=2, FOM=0.3954841337817819
2019-03-26 16:35:35, SI=2, It_no=0, Feval_no=3, FOM=0.38533756336213865
2019-03-26 16:35:35, SI=2, It_no=0, Feval_no=4, FOM=0.380633526669879
2019-03-26 16:35:36, SI=2, It_no=0, Feval_no=5, FOM=0.3914261854611199
2019-03-26 16:35:36, SI=2, It_no=1, Feval_no=6, FOM=0.3986918386218688
2019-03-26 16:35:37, SI=2, It_no=1, Feval_no=7, FOM=0.4106001635037806
2019-03-26 16:35:38, SI=2, It_no=2, Feval_no=8, FOM=0.4087545873832236
2019-03-26 16:35:38, SI=2, It_no=3, Feval_no=9, FOM=0.41902179215688773
2019-03-26 16:35:39, SI=2, It_no=3, Feval_no=10, FOM=0.4384973120819226
2019-03-26 16:35:40, SI=2, It_no=4, Feval_no=11, FOM=0.44308282800925175
2019-03-26 16:35:40, SI=2, It_no=4, Feval_no=12, FOM=0.47446334719367045
2019-03-26 16:35:41, SI=2, It_no=5, Feval_no=13, FOM=0.46962245309090345
2019-03-26 16:35:41, SI=2, It_no=6, Feval_no=14, FOM=0.48784882702076415
2019-03-26 16:35:42, SI=2, It_no=6, Feval_no=15, FOM=0.5215894168587663
2019-03-26 16:35:43, SI=2, It_no=7, Feval_no=16, FOM=0.5318260627300375
2019-03-26 16:35:43, SI=2, It_no=7, Feval_no=17, FOM=0.5709843886138171
2019-03-26 16:35:44, SI=2, It_no=8, Feval_no=18, FOM=0.5617087423143873
2019-03-26 16:35:44, SI=2, It_no=9, Feval_no=19, FOM=0.5818405626428907
2019-03-26 16:35:45, SI=2, It_no=9, Feval_no=20, FOM=0.5935784764838895
2019-03-26 16:35:46, SI=2, It_no=10, Feval_no=21, FOM=0.5646309576779414
2019-03-26 16:35:46, SI=2, It_no=11, Feval_no=22, FOM=0.5218650939698285
2019-03-26 16:35:47, SI=2, It_no=11, Feval_no=23, FOM=0.580035259202048
